#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/GetAlignmentStats --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_000		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/MergeAlignmentStats --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --align-stats-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml
getAlignmentStats_removeTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml.tmpdir
summarizeStats		command	1	2048	0	1	getAlignmentStats_mergeStats		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/SummarizeAlignmentStats --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/stats/alignmentStatsSummary.txt
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_8		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/GetChromDepth --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --output /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_8 --chrom 8
getChromDepth_sample000_estimateChromDepth_001_11		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/GetChromDepth --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --output /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_001_11 --chrom 11
getChromDepth_sample000_catChromDepth		command	1	2048	0	1	getChromDepth_sample000_estimateChromDepth_000_8,getChromDepth_sample000_estimateChromDepth_001_11		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/cat.py --output /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_8 /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_001_11
getChromDepth_mergeChromDepth		command	1	2048	0	1	getChromDepth_sample000_catChromDepth		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/mergeChromDepth.py --out /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt --in /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt
getChromDepth_removeTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth		rm -rf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt.tmpdir
makeGraphTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth,getAlignmentStats_mergeStats		mkdir -p /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir
makeLocusGraph_chromId_000_8_0000		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0000.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:1-11258771 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0001		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0001.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:11258772-22517542 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0002		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0002.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:22517543-33776313 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0003		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0003.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:33776314-45035084 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0004		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0004.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:45035085-56293855 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0005		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0005.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:56293856-67552626 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
makeLocusGraph_chromId_000_8_0006		command	1	1536	0	0	makeGraphTmpDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/EstimateSVLoci --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_8_0006.bin --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --region 8:67552627-78811397 --min-candidate-sv-size 8 --min-edge-observations 3 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt
